"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Our Planet Earth (5-Disc/ Collector's Tin)","Madacy",,"Out","2.0","4:3",19.98,"NR","VAR","Documentary","1.33:1","628261067190",2009-01-20 00:00:00,151547,2008-12-25 00:00:00,1
"Palo Pinto Gold","Monarch",,"Out","2.0","LBX",24.95,"PG-13","2008","Western","1.85:1","723952078223",2009-01-20 00:00:00,148343,2008-11-15 00:00:00,1
"Paranormal State: The Complete Season 2","A&E Video",,"Out","2.0","4:3",24.95,"NR","2008","TV Classics","1.33:1","733961134384",2009-01-20 00:00:00,142839,2008-12-09 00:00:00,1
"Peter Liechti & Voice Crack: Kick That Habit","Drag City",,"Out","2.0","4:3",21.98,"NR","UNK","Music","1.33:1","781484038191",2009-01-20 00:00:00,149097,2008-11-15 00:00:00,1
"Pigface: Glitch / Son Of A Glitch","Invisible Records",,"Out","2.0","4:3",16.95,"NR","VAR","Music","1.33:1","760137480198",2009-01-20 00:00:00,148198,2008-11-21 00:00:00,1
"Pink Panther (2006/ Blu-ray)","Sony Pictures",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",28.95,"PG","2006","Comedy","1.85:1","043396229884",2009-01-20 00:00:00,149204,2008-11-15 00:00:00,1
"Poison Ivy: The Secret Society","New Line",,"Out","2.0","LBX, 16:9",27.95,"NR","2008","Suspense/Thriller","1.85:1","794043123221",2009-01-20 00:00:00,149616,2008-11-21 00:00:00,1
"Poison Ivy: The Secret Society (Blu-ray)","New Line",,"Out","2.0","LBX, 16:9, BLU-RAY",35.99,"NR","2008","Suspense/Thriller","1.85:1","794043124679",2009-01-20 00:00:00,149621,2008-11-21 00:00:00,1
"Pouring Transparent Watercolor With Jean Grastorf","North Light Books",,"Out","2.0","4:3",29.99,"NR","2008","Special Interest","1.33:1","9781600616778",2009-01-26 00:00:00,147498,2008-12-28 00:00:00,1
"Powerpuff Girls: The Complete Series (10th Anniversary Edition)","Turner Home Entertainment",,"Out","2.0","4:3",59.97,"NR","VAR","Animation","1.33:1","883929042463",2009-01-20 00:00:00,146492,2008-10-03 00:00:00,1
"President Barack Obama: The Man & His Journey","Code Black Entertainment",,"Out","2.0","4:3",19.99,"NR","UNK","Documentary","1.33:1","883476005737",2009-01-20 00:00:00,149037,2008-12-25 00:00:00,1
"Press For Time","Wham! USA",,"Out","2.0","4:3",24.95,"NR","1966","Comedy","1.33:1","018619992401",2009-01-20 00:00:00,146305,2008-09-30 00:00:00,1
"Programas: Secret Lives Exposed","Big Fuddez Records",,"Out","2.0","4:3",15.95,"NR","UNK","Documentary","1.33:1","753182050393",2009-01-20 00:00:00,149332,2008-11-16 00:00:00,1
"Public Enemy: Revolverlutiontour 2003","Charly",,"Out","2.0","4:3",19.95,"NR","UNK","Music","1.33:1","760137480594",2009-01-20 00:00:00,145744,2008-11-26 00:00:00,1
"Re-Visiting Father And The Source Family","Music Video Distributors",2009-03-24 00:00:00,"Pending","2.0","4:3",29.95,"NR","UNK","Documentary","1.33:1","5030094115798",2009-03-24 00:00:00,153340,2009-01-20 00:00:00,0
"Red Is The Color Of","Culture Q Connection",2009-02-24 00:00:00,"Pending","2.0","4:3",29.95,"NR","2007","Mystery/Suspense","1.33:1","631008068497",2009-02-24 00:00:00,152809,2009-01-20 00:00:00,1
"Rejoice: Liturgical Dances And Songs","Carole Stine",,"Out","2.0","4:3",26.95,"NR","UNK","Special Interest","1.33:1","898193002006",2009-01-20 00:00:00,153131,2009-01-16 00:00:00,1
"Repo! The Genetic Opera","Lions Gate",,"Out","5.1","LBX, 16:9",19.98,"R","2008","Horror","1.78:1","031398104353",2009-01-20 00:00:00,149765,2009-01-20 00:00:00,1
"Repo! The Genetic Opera (Blu-ray)","Lions Gate",,"Out","2.0","LBX, 16:9, BLU-RAY",29.99,"R","2008","Horror","1.85:1","031398106418",2009-01-20 00:00:00,148728,2008-12-04 00:00:00,1
"Rockford Files: Season 6","Universal",,"Out","2.0","4:3",39.98,"NR","1979","TV Classics","1.33:1","025195017152",2009-01-20 00:00:00,148135,2008-10-28 00:00:00,1
